,Model,Fuel Type,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,Engine Size,CO2,MOT Expires,VAT Qualifying
42,Qashqai,Petrol,Manual,"11,842 miles",5,113 bhp,2018 (68),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£17,700",1.2L,129 g/km,03-08-2022,
43,Qashqai,Petrol,Manual,"30,231 miles",5,113 bhp,2018 (68),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£17,700",1.2L,129 g/km,29-09-2022,
44,Qashqai,Petrol,Manual,"30,210 miles",5,158 bhp,2020 (20),41.5,Hatchback,BRONZE,1.0,Euro 6,£199,"£17,700",1.3L,121 g/km,,
45,Qashqai,Petrol,Manual,"26,380 miles",5,113 bhp,2017 (67),50.4,Hatchback,BLACK,2.0,Euro 6,£199,"£17,600",1.2L,129 g/km,05-08-2022,
46,Qashqai,Diesel,Manual,"15,998 miles",5,128 bhp,2018 (18),64.2,Hatchback,SILVER,1.0,Euro 6,£199,"£17,500",1.6L,116 g/km,,
47,Qashqai,Diesel,Manual,"32,382 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,500",1.5L,99 g/km,,
48,Qashqai,Petrol,Manual,"22,570 miles",5,113 bhp,2017 (67),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,500",1.2L,129 g/km,29-09-2022,
49,Qashqai,Diesel,Manual,"17,810 miles",5,128 bhp,2018 (18),64.2,Hatchback,BLACK,1.0,Euro 6,£199,"£17,500",1.6L,116 g/km,30-08-2022,
50,Qashqai,Petrol,Manual,"21,337 miles",5,113 bhp,2018 (68),50.4,Hatchback,RED,1.0,Euro 6,£199,"£17,500",1.2L,129 g/km,06-09-2022,
51,Qashqai,Diesel,Manual,"37,053 miles",5,114 bhp,2018 (68),52.3,Hatchback,GREY,1.0,Euro 6,£199,"£17,500",1.5L,110 g/km,29-09-2022,
52,Qashqai,Petrol,Manual,"20,517 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£17,500",1.2L,129 g/km,05-11-2022,
53,Qashqai,Diesel,Manual,"15,740 miles",5,108 bhp,2018 (18),74.3,Hatchback,GREY,1.0,Euro 6,£199,"£17,500",1.5L,99 g/km,27-03-2022,
54,Qashqai,Petrol,Manual,"32,659 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,2.0,Euro 6,£199,"£17,500",1.2L,129 g/km,27-09-2022,
55,Qashqai,Diesel,Automatic,"38,229 miles",5,128 bhp,2017 (17),61.4,Hatchback,WHITE,1.0,Euro 6,£199,"£17,300",1.6L,127 g/km,01-12-2021,
56,Qashqai,Petrol,Manual,"23,708 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,300",1.2L,129 g/km,,
57,Qashqai,Diesel,Manual,"45,003 miles",5,108 bhp,2018 (68),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,300",1.5L,99 g/km,,
58,X-Trail,Diesel,Manual,"47,924 miles",5,130 bhp,2017 (17),52.3,Estate,BLACK,2.0,Euro 6,£199,"£17,300",1.6L,143 g/km,25-10-2022,
59,Qashqai,Petrol,Manual,"28,671 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£17,200",1.2L,129 g/km,27-07-2022,
60,X-Trail,Diesel,Manual,"62,927 miles",5,130 bhp,2018 (68),55.4,Estate,ORANGE,1.0,Euro 6,£199,"£17,000",1.6L,133 g/km,10-09-2022,
61,Qashqai,Petrol,Manual,"18,437 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.2L,129 g/km,29-06-2022,
62,Qashqai,Diesel,Manual,"29,534 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.5L,99 g/km,27-03-2022,
63,Qashqai,Petrol,Manual,"21,141 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.2L,129 g/km,27-09-2022,
64,Qashqai,Diesel,Manual,"20,080 miles",5,108 bhp,2017 (67),74.3,Hatchback,BLUE,2.0,Euro 6,£199,"£17,000",1.5L,99 g/km,28-07-2022,
65,Qashqai,Diesel,Manual,"22,862 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£17,000",1.5L,99 g/km,30-03-2022,
66,Qashqai,Diesel,Manual,"31,556 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,2.0,Euro 6,£199,"£16,900",1.5L,99 g/km,,
67,Qashqai,Diesel,Manual,"32,516 miles",5,128 bhp,2017 (67),64.2,Hatchback,RED,1.0,Euro 6,£199,"£16,900",1.6L,116 g/km,01-08-2022,
68,Qashqai,Diesel,Manual,"20,898 miles",5,114 bhp,2018 (68),53.3,Hatchback,BLACK,2.0,Euro 6,£199,"£16,900",1.5L,100 g/km,,
69,X-Trail,Diesel,Manual,"38,939 miles",5,130 bhp,2017 (66),55.4,Estate,BLACK,2.0,Euro 6,£199,"£16,800",1.6L,133 g/km,06-10-2021,
70,Qashqai,Petrol,Manual,"25,384 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,800",1.2L,129 g/km,29-06-2022,
71,Qashqai,Petrol,Manual,"23,307 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,700",1.2L,129 g/km,29-06-2022,
72,LEAF,Electric,Automatic,"49,552 miles",5,148 bhp,2018 (18),1.0,Hatchback,WHITE,2.0,Euro 6,£199,"£16,700",,,20-05-2022,
73,Qashqai,Petrol,Manual,"30,161 miles",5,113 bhp,2017 (67),50.4,Hatchback,WHITE,1.0,Euro 6,£199,"£16,600",1.2L,129 g/km,19-12-2021,
74,Qashqai,Petrol,Manual,"31,811 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,500",1.2L,129 g/km,,
