,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
53,A3,Petrol,2.0L,Automatic,"20,590 miles",5.0,187 bhp,2018 (18),47.9,Hatchback,134 g/km,BLACK,"£25,000"
54,Q5,Diesel,2.0L,Automatic,"32,311 miles",5.0,187 bhp,2016 (66),47.1,Estate,157 g/km,MONSOON GREY,"£25,000"
55,Q5,Diesel,2.0L,Automatic,"60,366 miles",5.0,188 bhp,2017 (17),56.5,Estate,132 g/km,GREY,"£25,000"
56,A6,Diesel,2.0L,Automatic,"55,506 miles",5.0,188 bhp,2018 (18),54.3,Estate,138 g/km,DAYTONA GREY,"£25,000"
57,Q3,Petrol,1.4L,Automatic,"25,195 miles",5.0,148 bhp,2018 (68),47.9,Estate,138 g/km,MYTHOS BLACK,"£24,800"
58,A6,Diesel,2.0L,Automatic,"28,640 miles",4.0,188 bhp,2018 (18),61.4,Saloon,119 g/km,MOONLIGHT BLUE,"£24,600"
59,A3,Diesel,2.0L,Automatic,"11,362 miles",5.0,148 bhp,2020 (20),50.4,Hatchback,117 g/km,RED,"£24,500"
60,A5,Petrol,2.0L,Automatic,"44,292 miles",2.0,188 bhp,2018 (68),48.7,Convertible,131 g/km,GREY,"£24,500"
61,Q5,Petrol,2.0L,Automatic,"78,079 miles",5.0,248 bhp,2017 (67),40.9,Estate,157 g/km,BLACK,"£24,300"
62,A7,Diesel,3.0L,Automatic,"49,900 miles",5.0,268 bhp,2016 (16),52.3,Hatchback,142 g/km,WHITE,"£24,200"
63,A6,Diesel,2.0L,Automatic,"23,970 miles",5.0,188 bhp,2016 (16),54.3,Estate,138 g/km,BLUE,"£24,000"
64,Q5,Diesel,2.0L,Automatic,"72,189 miles",5.0,188 bhp,2017 (67),55.4,Estate,133 g/km,BLUE,"£24,000"
65,A5,Diesel,2.0L,Automatic,"30,496 miles",2.0,188 bhp,2017 (67),62.8,Coupe,118 g/km,BLACK,"£24,000"
66,Q3,Diesel,2.0L,Automatic,"22,627 miles",5.0,182 bhp,2018 (18),53.3,Estate,139 g/km,MONSOON GREY,"£24,000"
67,A5,Diesel,2.0L,Automatic,"10,217 miles",5.0,188 bhp,2017 (67),68.9,Hatchback,106 g/km,BLUE,"£24,000"
68,Q3,Diesel,2.0L,Automatic,"38,337 miles",5.0,148 bhp,2018 (18),53.3,Estate,140 g/km,BLUE,"£23,900"
69,A6,Diesel,2.0L,Automatic,"25,335 miles",4.0,188 bhp,2017 (67),56.5,Saloon,133 g/km,GREY,"£23,900"
70,A3,Diesel,2.0L,Manual,"1,895 miles",5.0,148 bhp,2019 (19),54.3,Hatchback,115 g/km,GREY,"£23,600"
71,A3,Petrol,1.5L,Automatic,"20,245 miles",4.0,148 bhp,2018 (68),56.5,Saloon,113 g/km,BLUE,"£23,500"
72,A6,Diesel,2.0L,Automatic,"32,966 miles",4.0,188 bhp,2018 (68),57.7,Saloon,128 g/km,DAYTONA GREY,"£23,500"
73,Q3,Diesel,2.0L,Automatic,"35,748 miles",5.0,182 bhp,2017 (17),51.4,Estate,144 g/km,BLUE,"£23,500"
74,A6,Diesel,2.0L,Automatic,"45,059 miles",5.0,188 bhp,2017 (67),54.3,Estate,138 g/km,GLACIER WHITE,"£23,500"
75,A6,Diesel,2.0L,Manual,"28,263 miles",4.0,188 bhp,2017 (67),61.4,Saloon,120 g/km,BRILLIANT BLACK,"£23,400"
76,A4,Petrol,2.0L,Automatic,"11,527 miles",4.0,188 bhp,2018 (67),50.4,Saloon,126 g/km,BLACK,"£23,100"
